score_number,user_id,beatmap_id,artist,title,difficulty,score_id,time,score,max_combo,rank,count_50,count_100,count_300,count_miss,mods,pp,replay
1,13473514,2126752,Victorius,Twilight Skies,Born to Conquer the Universe,4203746535,2022-06-29 00:12:55,189849550,3038,S,0,33,2009,0,None,467.488,True
2,13473514,2964222,DM DOKURO,SAVE (Encore),Reform's Extra,3922363301,2021-10-24 18:32:29,4602572,485,A,0,6,320,1,HDNC,442.021,False
3,13473514,1970829,Nanahira,Chikatto Chika Chika,Reform's Expert,3929480974,2021-10-29 23:35:26,3291203,412,SH,0,6,254,0,HDDT,441.69,True
4,13473514,2328680,MAXIMUM THE HORMONE,ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero (Chiptune Cover),Reform's Extreme,4096997525,2022-03-15 02:32:42,3420413,441,X,0,0,290,0,HR,439.006,True
5,13473514,2659911,EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),Simple Heart,4194340290,2022-06-18 23:09:47,1558165,275,S,0,1,198,0,DT,427.354,False
6,13473514,3355394,Fred V,Already Disappeared,Irreplaceable,4415379105,2023-04-09 20:12:46,52632940,1556,S,2,18,1051,0,HR,414.636,True
7,13473514,2872154,Serenity,Lionheart,Extreme,4203696782,2022-06-28 22:43:03,81681240,1866,A,4,17,1457,4,None,411.301,False
8,13473514,2902017,Saint Snow,DROPOUT!?,Kowari's Extra,4117309768,2022-04-02 23:26:29,74383990,1766,S,0,23,1306,0,HR,410.821,True
9,13473514,3053145,Suzuki Aina,Hikariiro no Uta (TV Size),Shiny Future,4361493889,2023-01-18 22:20:38,9199209,604,SH,0,7,446,0,HDHR,404.087,True
10,13473514,2102292,Parry Gripp,Guinea Pig Bridge,Reform's Expert,3872684965,2021-09-19 02:12:52,893455,212,SH,0,6,138,0,HDDT,390.208,False
11,13473514,2245783,Turbo,PADORU / PADORU,Reform's Expert,3922529146,2021-10-24 20:45:58,560908,153,A,0,4,121,1,HDNC,388.178,False
12,13473514,2165271,ONE OK ROCK,Start Again,Another,4202925280,2022-06-28 03:26:02,5928304,534,A,0,6,404,1,HDDT,378.265,False
13,13473514,1289926,Minazuki Airi with Atsushi,"Daisuki, Evolution",Extreme,4160969027,2022-05-15 04:23:37,12862190,703,S,0,4,590,0,None,377.556,True
14,13473514,2521210,Bowling For Soup,Today is Gonna be a Great Day (TV Size),Nymphe's Another,3910384630,2021-10-16 05:56:48,1063880,232,SH,0,5,154,0,HDDT,376.564,True
15,13473514,2600169,fiend,Morrissey,emu's Extra,4433938848,2023-05-08 23:53:42,8672558,667,SH,0,1,424,0,HDHR,374.938,True
16,13473514,3238820,ClariS,SHIORI (TV Size),Ougi,4194358407,2022-06-18 23:41:02,3620309,391,A,0,6,304,2,DT,374.055,False
