score_number,user_id,user_country_code,beatmap_id,last_updated,artist,title,difficulty,bpm,od,ar,cs,hp,length,drain_length,beatmap_mode,mapper,mapper_user_id,mapper_country_code,score_id,time,score,max_combo,rank,count_50,count_100,count_300,count_miss,mods,pp,replay
1,6715645,US,722224,2015-06-21 17:06:12,Sawai Miku,Colorful. (Asterisk DnB Remix),Megumi,175,8.2,9.2,4.2,6,5:12,5:11,osu,Skystar,873961,HK,3564783160,2021-03-30 01:35:33,74773786,1726,SH,0,17,1276,0,HDHR,381.103,True
2,6715645,US,98452,2011-12-16 13:33:37,Jin Yan Xie,Dancing Kong Fu,Insane,145,7,8,5,7,3:09,2:52,osu,bakabaka,298471,TW,3356760347,2020-12-06 21:39:28,17924322,814,A,2,12,616,1,HDDT,373.85,True
3,6715645,US,1298386,2018-02-13 01:30:43,Nightwish,Escapist,Ametrin's Insane,144,7.5,8.5,4,6,4:52,3:48,osu,Ametrin,1588934,CN,3582105735,2021-04-07 04:01:30,23459009,1064,SH,1,3,751,0,HDDT,373.287,True
4,6715645,US,328472,2014-10-27 12:22:14,Fujijo Seitokai Shikkou-bu,Best FriendS -TV Size-,Fycho's Insane,163,7,9,4,6,1:26,1:25,osu,Fycho,1876867,CN,3205467674,2020-08-20 18:29:48,3765984,404,SH,0,1,312,0,HDDT,372.273,True
5,6715645,US,1967531,2019-06-28 15:39:48,Lia,Toki o Kizamu Uta (TV Size),ohmanpasi's Insane,139,8,8.5,4,6,1:26,1:24,osu,ohmanpasi,3669182,DE,4082445215,2022-03-01 17:57:39,3565308,379,SH,0,1,304,0,HDDT,367.198,True
6,6715645,US,713932,2015-07-05 01:17:21,Zac Efron,Scream,ahh,135,8,8,4,6,2:48,1:54,osu,pishifat,3178418,US,3639138437,2021-05-04 04:43:32,7344940,551,SH,0,6,455,0,HDNC,366.837,True
7,6715645,US,2153072,2019-09-18 20:18:28,Aimer,I beg you,Lost Butterfly,128,7,8,4,6,4:24,4:20,osu,xbopost,6842421,RU,3727362956,2021-06-19 06:17:35,38462447,1282,SH,0,9,1035,0,HDDT,362.681,True
8,6715645,US,1006811,2016-07-18 15:29:18,ChouCho,Kuusou Triangle,Insane,135,8,8.3,4,7,4:05,3:55,osu,Iceskulls,1409012,TH,4189669798,2022-06-14 01:32:48,38586659,1259,SH,0,14,845,0,HDDT,359.156,True
9,6715645,US,3392196,2022-01-06 03:20:51,AZU,To You...,Insane,170,8,9,4,7,4:55,4:21,osu,Gibune,5778687,AU,4119665706,2022-04-05 05:43:03,30877319,1190,SH,0,2,722,0,HDDT,358.349,True
10,6715645,US,1074378,2016-10-12 15:44:36,KOTOKO,Koi Kou Enishi,Insane,144,8,8.5,4,6,1:41,1:41,osu,No Dap,3044645,US,3037636796,2020-03-30 03:48:19,5844365,505,SH,0,5,395,0,HDDT,357.764,False
11,6715645,US,736920,2015-11-01 02:15:24,Mitchie M,News 39,N-39,132,8,8.5,4,7,3:38,3:16,osu,Natsu,1953876,SV,3730241336,2021-06-20 21:19:32,26868754,1055,SH,0,9,716,0,HDDT,357.19,True
12,6715645,US,44644,2010-01-30 14:43:00,Orianthi,According To You,Insane,131,8,8,4,8,3:06,2:42,osu,saymun,140188,AU,3990778711,2021-12-16 06:29:18,15223481,711,SH,0,16,590,0,HDDT,355.424,True
13,6715645,US,1802689,2018-10-15 02:34:34,Perfume,NIGHT FLIGHT,Voyage,145,7.5,8.5,4,5,5:11,5:09,osu,Trynna,2652951,BR,3661616966,2021-05-15 06:46:17,35058473,1270,SH,2,13,1020,0,HDDT,355.129,True
14,6715645,US,1900083,2019-01-31 15:37:39,Yasuda Rei,Best of my Love,A Colorful Path Of Inspiration,120,8,8,4,6,5:27,5:04,osu,NEVlR,8339126,FR,4475236426,2023-07-19 03:20:22,35666549,1283,SH,3,9,966,0,HDDT,354.043,True
15,6715645,US,137650,2012-04-19 14:44:07,Hashimoto Miyuki,Symphonic Love (Short Ver.),Cookiezi's Insane,144,7,8,4,7,1:34,1:33,osu,chocomint,124493,KR,2740807151,2019-02-19 02:06:37,6867513,542,SH,0,4,427,0,HDDT,354.007,True
16,6715645,US,787430,2015-11-10 05:26:14,ARCIEN,Future Son,N A S Y A'S OK DAD,150,8.5,9,3.8,8,1:05,1:05,osu,N a s y a,1473106,JP,3185080460,2020-08-05 02:54:22,1841143,258,XH,0,0,182,0,HDDT,353.487,True
17,6715645,US,166237,2013-03-15 16:02:23,A Day to Remember,Have Faith in Me,Faith,150,8,8,4,7,3:05,2:59,osu,Magicphoenix,329616,DE,3156714153,2020-07-13 16:15:33,20223943,869,SH,0,11,629,0,HDDT,353.255,True
18,6715645,US,579751,2015-06-21 17:48:11,senya,Yukitoke Realism,Lunatic,143,7,8,4,6,3:35,3:20,osu,wring,275300,JP,2746082734,2019-02-25 23:59:24,23323254,1076,SH,0,10,777,0,HDDT,352.164,True
19,6715645,US,1420472,2017-10-05 02:16:35,Silver Forest feat. Aki,Sakura Uta,Lunatic,132,7,8,4.2,6,3:24,3:15,osu,RVMathew,3718151,HK,3173274889,2020-07-27 01:15:59,19256316,918,SH,0,5,706,0,HDDT,351.812,True
20,6715645,US,1266886,2017-07-19 14:39:39,Yasuda Rei,Best of my Love,A Colorful Path Of Love,120,7,8,4,6,5:27,5:00,osu,schoolboy,8722791,EE,2836721330,2019-06-24 13:04:30,35251533,1285,SH,0,1,960,0,HDDT,350.93,True
21,6715645,US,546148,2015-01-13 11:50:27,Misawa Aki,Nostalgia,Nostalgia,162,7.5,8.5,4,6,5:36,5:28,osu,Narcissu,1826598,CN,4190483784,2022-06-14 21:57:12,41354494,1449,SH,1,9,1042,0,HDDT,350.088,True
22,6715645,US,609741,2015-01-25 16:41:33,Sana,Byoumei Koiwazurai,Insane,160,7,8.5,4,6.5,4:02,3:36,osu,[ Joey ],2693954,US,3099935424,2020-05-26 23:04:20,22746691,1079,SH,0,6,726,0,HDDT,347.328,True
23,6715645,US,611679,2015-02-12 23:05:29,nano,GALLOWS BELL,A Mystery's Insane,145,7.5,8.5,4,7,3:30,3:17,osu,A Mystery,2558570,BE,4190488063,2022-06-14 22:03:49,19154640,875,XH,0,0,610,0,HDDT,345.926,True
24,6715645,US,315738,2014-02-22 18:39:16,Nakae Mitsuki,"Pure Love, True Love",Insane,138,8,8,4,7,4:15,3:52,osu,El SolarBeam,1074710,ID,4181031713,2022-06-05 00:54:24,26252289,1032,SH,0,4,688,0,HDDT,345.407,True
25,6715645,US,2289834,2020-02-13 19:42:50,chelmico,Easy Breezy (TV Size),Hands off!,186,8.4,9.2,4.4,6,1:28,1:28,osu,hypercyte,9155377,GB,3147837322,2020-07-06 02:44:05,8415464,562,SH,0,4,432,0,HDHR,344.887,True
26,6715645,US,878124,2016-01-23 23:51:18,Bruno Mars,Marry You,Insane,145,7.5,8.5,4,6,3:45,3:45,osu,Natsu,1953876,SV,4082451748,2022-03-01 18:05:11,22061583,1036,SH,0,1,761,0,HDDT,344.886,True
27,6715645,US,45427,2010-12-11 18:51:57,supercell,LOVE & ROLL (Full ver),Insane,134,8,8,5,5,4:51,4:18,osu,Clare,179520,CN,4139361130,2022-04-23 07:47:56,18670784,963,SH,0,4,672,0,HDDT,344.211,True
28,6715645,US,602881,2015-03-14 16:44:29,Vicetone,What I've Waited For (feat. D. Brown),Finally,128,7,8,4,6.5,3:36,3:08,osu,Come[Back]Home,1131716,DE,4447010132,2023-05-30 22:47:02,16712643,828,SH,0,3,673,0,HDDT,343.476,True
29,6715645,US,781124,2015-09-26 17:51:49,Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,Taeyang's Insane,140,8,8.4,4,6.5,1:28,1:28,osu,Taeyang,2732340,KR,3105896438,2020-06-01 00:36:46,4916801,428,XH,0,0,310,0,HDDT,343.23,True
30,6715645,US,1570203,2019-04-27 19:54:22,toby fox,Last Goodbye,Determination,180,9.5,9.3,4,6,1:51,1:26,osu,Fatfan Kolek,2308676,DE,2947000514,2019-11-28 04:20:19,5797404,484,SH,0,2,354,0,HD,343.152,False
31,6715645,US,1095534,2016-11-20 03:32:18,RADWIMPS,Nandemo Nai ya,Twilight,84,7.5,8.7,4,5,6:51,5:48,osu,Monstrata,2706438,CA,3370140421,2020-12-15 18:29:05,40579413,1509,SH,0,2,908,0,HDDT,342.829,True
32,6715645,US,558277,2014-12-31 19:31:02,Hanatan,Torinoko City,Insane,135,7,8.2,4,7,3:21,3:08,osu,Frostmourne,199669,TH,4080280474,2022-02-27 16:30:05,15616608,827,XH,0,0,663,0,HDDT,342.595,True
33,6715645,US,62118,2010-07-13 02:47:55,4minute,HUH,Insane,122,8,8,4,7,3:35,2:55,osu,Sunny Holic,297086,KR,4455906817,2023-06-15 06:22:55,16655907,761,SH,0,7,593,0,HDDT,341.782,True
34,6715645,US,107747,2011-12-26 18:50:50,Elvenking,The Winter Wake,AlrdyExists' Blizzard,130,7,8,4,6,4:03,3:42,osu,Snepif,408088,UY,4087098976,2022-03-05 23:15:41,16658786,927,SH,0,2,637,0,HDDT,340.028,True
35,6715645,US,3798036,2022-09-17 18:29:10,Tsukimi Eiko (VO: 96neko),Sakuranbo,Insane,169.85,7.5,9,3.8,5.6,3:49,3:30,osu,Akitoshi,4754771,PH,4290133008,2022-10-10 04:39:45,22618260,1090,SH,3,4,718,0,HDDT,339.584,True
36,6715645,US,676172,2015-10-12 13:26:38,ALiCE'S EMOTiON,Dark Flight Dreamer,Dreamer,189,8.8,9.5,4,6.5,3:09,2:58,osu,Sakaue Nachi,1947052,CN,3083369231,2020-05-12 02:31:04,37222756,1186,A,3,8,997,2,HD,339.196,False
37,6715645,US,148653,2012-06-30 03:22:41,ClariS,Anata ni FIT,Insane,132,7,8,4,7,4:04,3:26,osu,Guy,91738,JP,4082502788,2022-03-01 19:03:04,16310448,846,XH,0,0,665,0,HDDT,339.089,True
38,6715645,US,438061,2014-07-22 08:29:24,Ray,lull ~Soshite Bokura wa~,Insane,133,7,8,4,7,4:29,3:58,osu,Delis,1603923,JP,3078944270,2020-05-08 04:08:15,27578638,1102,XH,0,0,859,0,HDDT,337.201,True
39,6715645,US,2788315,2021-10-25 07:10:37,Kamiyama Yoh,Irokousui (TV Size),Airiesu's Hori,148,7.5,8.3,4,5,1:29,1:29,osu,Airiesu,14094058,PH,4333298049,2022-12-10 07:20:29,4062241,433,XH,0,0,323,0,HDDT,336.777,True
40,6715645,US,153771,2012-06-01 14:41:10,Chata,Miren,Insane,134,8,8,4,6,3:57,3:32,osu,Pokie,207340,HK,4336020358,2022-12-14 04:13:06,17163694,926,SH,0,4,656,0,HDDT,335.066,True
41,6715645,US,2120587,2019-10-01 18:06:43,Kawada Mami,Hishoku no Sora,Insane,169,7.5,9,3.8,6,4:08,3:58,osu,Akitoshi,4754771,PH,3490725923,2021-02-22 03:57:29,28739695,1206,SH,1,11,815,0,HDDT,334.283,True
42,6715645,US,860107,2017-02-23 14:40:31,EVO+,[A]ddiction,117's Insane,164,7,9,4,5,3:12,2:55,osu,DreaM117er,1945090,TW,3498617712,2021-02-26 02:25:38,15476900,848,SH,1,11,628,0,HDDT,334.129,True
43,6715645,US,33288,2011-03-28 19:08:35,Lacrimosa,Lichtgestalt,Insane,125,7,8,4,7,3:40,2:36,osu,Luvdic,131918,VE,4119639202,2022-04-05 04:54:21,9602547,653,SH,0,1,504,0,HDDT,333.196,True
44,6715645,US,131362,2012-01-13 06:21:43,paraoka,Manima ni (Short Ver.),0108,185,7,9,4,6,2:31,2:24,osu,val0108,243917,JP,3173298028,2020-07-27 01:46:48,13748434,854,SH,0,6,589,0,HDHR,333.188,True
45,6715645,US,205282,2013-03-29 10:22:40,Renard,Da Nu Nuttah,Nogard,190,8,9,4,6,2:39,2:02,osu,Mismagius,19048,BR,3100929454,2020-05-27 20:00:59,14508095,841,SH,0,16,618,0,HDHR,331.729,True
46,6715645,US,1318195,2017-08-08 15:02:41,HoneyWorks meets TrySail,Senpai. [MOVIE Ver.],Insane,162,7.8,8.3,4,6.6,1:40,1:39,osu,0109-,2743764,VN,2871355439,2019-08-12 19:46:51,6075817,501,SH,0,3,329,0,HDDT,331.335,True
